username,post_id,caption,comments_text,likes,comments_count,timestamp,post_date,is_video,has_multiple_media,video_duration,video_view_count,hashtags,hashtag_count,mentions,mention_count,url_count,caption_length,comments_length,total_engagement
cristiano_posts,DRrgV_8iF7w,A new era of fighting is coming 🦾,🔥👑 🔥👑 Search: vevtech.blog and open within 3 seconds>>>>>>>>>>>>>> Search: vevtech.blog and open within 3 seconds>>>>>>>>>>>>>> Search: vevtech.blog and open within 3 seconds>>>>>>>>>>>>>> ❤️❤️❤️❤️ Help me 👍 🔥 Эу котогум сом берчи бияльрд жава албай атат Please follow back Virat Kohli 🙏🙏🙏🙏🙏,913076,11060,2025-11-30T12:00:03.000Z,2025-11-30 12:00:03+00:00,True,False,85.8,4411916,,0,,0,0,33,291,924136
cristiano_posts,DRnOEjME21V,Ronaldo vs My Goalie Robot. Thanks to @tmobile for helping me get my latest invention ready to take on @cristiano at his own game! #sponsored,👏👏👏👏 👏👏👏👏 😍 👏👏👏👏 ............ .. .. .. . ... .. ... .. . . . . . . . .. . . ... . . . B. .. . . 🐐👑cr7 is the best siuuuu @as_sayyad133 Messi 😍😍😍 ❤️❤️❤️❤️❤️❤️ Portekiz 👑,2067639,13210,2025-11-28T20:02:23.000Z,2025-11-28 20:02:23+00:00,True,False,57.877,12414181,sponsored,1,"tmobile,cristiano",2,0,141,168,2080849
cristiano_posts,DRmC24WiKDg,I’m always pushing to feel my best. @whoop helps me do that. 💪🏼 Make this the season you invest in better health with the best WHOOP offer of the year.,don't troll Ronaldo 🐐 don't troll Ronaldo 🐐 🐐🐐🐐🐐🔥🔥🔥🔥 The 🐐🐐👑 🔥 Bestt🐐❤️👑 😍😍😍😍😍 👍 Nokkke 🐐❤️❤️❤️❤️🔥🔥,4073848,23583,2025-11-28T09:04:30.000Z,2025-11-28 09:04:30+00:00,False,True,0.0,0,,0,whoop,1,0,151,99,4097431
cristiano_posts,DRjiuM0iLFj,Recovery is key to my success 🔑 Don’t miss your chance to recover with top technology. @avacr7 is now on Black Friday with up to 50% off all recovery equipment. 🔝 Recovery is the secret to perform better and break your limits. 🦾 Until November 30th.,😍😍😍😍😍 😍😍😍😍😍 Hey Ronaldo balik lah kamu ke Aceh yang kamu dulu pernah nyelamatin anak skarang Aceh tidak baik baik saja kaya kamrin 🔥🔥🔥 🔥 🐐🔥🔥🔥 @as_sayyad133 🔥🐐 🔥 👏👏👏👏 ❤️❤️❤️,2637995,15297,2025-11-27T09:45:13.000Z,2025-11-27 09:45:13+00:00,False,True,0.0,0,,0,avacr7,1,0,249,172,2653292
cristiano_posts,DRciq2cFK0i,"Low inflammation. Efficient oxygen delivery. Metabolic precision. Cristiano Ronaldo’s biomarkers reveal what separates him from the rest, and how WHOOP Advanced Labs helps him perform like he’s 12 years younger. This is Healthspan in action. Bring your data story to life with WHOOP Advanced Labs — purchase a testing package or upload your lab results today.",🔥 🔥 @as_sayyad133 @dvjiour hola pochi soy chis mi cel se dañó @_fmsy 👋 ❤️❤️👑 👏👏 🔥🔥🔥🔥🔥👏🔥 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 👑👑👑👑👏👏👏 @actechnician1971_aurangabad,892662,11369,2025-11-24T16:30:08.000Z,2025-11-24 16:30:08+00:00,False,True,0.0,0,,0,,0,0,359,139,904031
cristiano_posts,DRaV7mnAGq7,Best caption wins! 🤔,1 chi martta rekdan chiqdi😂🙌🔥 1 chi martta rekdan chiqdi😂🙌🔥 https://www.instagram.com/tendanc_efemme?igsh=YXFvODJlbGo5cnY3 ♥️ 😍❤️ فيلسوف 🔥 You're the GOAT !!! 👑👑🐐🐐,16225543,596509,2025-11-23T20:00:52.000Z,2025-11-23 20:00:52+00:00,True,False,57.32,73816866,,0,,0,0,20,163,16822052
cristiano_posts,DRVKKTygA2P,Back 🟡🔵,🔥🔥 🔥🔥 فیلم ورزش پهلوون توپیجم هست ببینیدولذت ببریدرسول خادم 👑👑👑 🔥🔥🔥 Hi Ronald ❤️ 😍😍😍😍 Goat forever🐐👑 Meri jan ❤️🔥💔💔,4195950,35821,2025-11-21T19:41:14.000Z,2025-11-21 19:41:14+00:00,False,True,0.0,0,,0,,0,0,7,115,4231771
cristiano_posts,DRPzD6oCLFZ,"Thank you Mr. President for your invitation and for the warm welcome you and the First Lady gave me and my future wife, @georginagio. Each of us has something meaningful to give, and I stand ready to do my part as we inspire new generations to build a future defined by courage, responsibility and lasting peace.",Love from Nepal 🇳🇵 Love from Nepal 🇳🇵 🔥👏 سكي رونالدو 🙌 Афигеть Oh…. @yurixiha5 i have replaced you,27916731,395185,2025-11-19T17:43:11.000Z,2025-11-19 17:43:11+00:00,False,True,0.0,0,,0,georginagio,1,0,312,98,28311916
cristiano_posts,DRPZ1xokeMN,Two GOATS. CR7 x 45/47 🔥,"🐐🐐🐐🐐🐐 🐐🐐🐐🐐🐐 Free Palestine https://www.instagram.com/diyorbek10158?igsh=Y2dwbnk4OGRuN21h الخوة النظيفة @as_sayyad133 You suck man You suckkkk, free Palestine 🔥🔥🔥🔥🔥🔥 فقط مسی😂 Hello cris i love you pleas you go in the iran 😍❤️❤️❤️❤️❤️",9563564,194332,2025-11-19T14:04:56.000Z,2025-11-19 14:04:56+00:00,True,False,13.259,57719467,,0,,0,0,24,232,9757896
cristiano_posts,DRH7TpTiAxK,"ESTAMOS NO MUNDIAL! VAMOS COM TUDO, PORTUGAL! 🇵🇹",❤️❤️❤️❤️❤️ ❤️❤️❤️❤️❤️ ❤️🐐 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 🇵🇹 🔥🔥🔥🔥🔥🔥🔥🔥 555M 🐐 👏 Кырасавчик❤️ ❤️😍🔥,7124866,61480,2025-11-16T16:21:19.000Z,2025-11-16 16:21:19+00:00,False,True,0.0,0,,0,,0,0,48,76,7186346
